ID,AGE,GENDER,REGION,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SAFETY_RATING,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,CLAIM_AMOUNT
1,26-39,female,Scotland,10-19y,high_school,working_class,0.473,1.0,before_2010,1.0,1.0,10238,5707.0,suv,standard,1,0,0,0.0,0.0
2,26-39,female,Wales,0-9y,high_school,middle_class,0.697,1.0,2016-2020,0.0,1.0,32765,7601.0,luxury_sedan,basic,0,0,1,0.0,0.0
3,26-39,male,East Anglia,0-9y,high_school,working_class,0.733,1.0,before_2010,1.0,1.0,78901,10825.0,suv,basic,1,0,1,0.0,0.0
4,26-39,male,North West,10-19y,high_school,working_class,0.558,1.0,2010-2015,0.0,0.0,45678,4717.0,suv,standard,0,0,0,1.0,718.48
5,40-64,male,Yorkshire,20-29y,university,working_class,0.792,1.0,2010-2015,0.0,1.0,67890,7311.0,luxury_sedan,advanced,0,0,1,0.0,0.0
6,40-64,female,Yorkshire,10-19y,postgraduate,middle_class,0.698,1.0,2016-2020,1.0,1.0,45678,7623.0,suv,basic,0,0,0,0.0,0.0
7,26-39,female,North East,0-9y,university,upper_class,0.821,1.0,2010-2015,1.0,1.0,45678,9059.0,family_sedan,basic,0,0,0,0.0,0.0
8,16-25,female,North East,0-2y,high_school,middle_class,0.598,1.0,2016-2020,0.0,0.0,67890,4132.0,suv,basic,1,1,1,0.0,0.0
9,26-39,female,South East,10-19y,university,working_class,0.398,0.0,after_2020,1.0,1.0,10238,7931.0,family_sedan,standard,0,0,0,0.0,0.0
10,26-39,male,South West,10-19y,university,working_class,0.376,1.0,2010-2015,0.0,0.0,54321,8022.0,suv,basic,0,0,1,0.0,0.0
11,26-39,female,East Anglia,10-19y,postgraduate,upper_class,0.538,1.0,after_2020,1.0,1.0,54321,7597.0,small_hatchback,basic,1,0,0,0.0,0.0
12,65+,female,South West,30y+,none,middle_class,0.285,1.0,2010-2015,1.0,1.0,78901,4442.0,luxury_sedan,standard,0,0,0,1.0,12480.0
13,26-39,female,South West,10-19y,university,middle_class,0.529,1.0,before_2010,1.0,1.0,45678,6163.0,suv,standard,0,0,2,0.0,0.0
14,40-64,female,London,20-29y,university,working_class,0.584,0.0,2010-2015,1.0,0.0,78901,3226.0,suv,basic,0,0,0,0.0,0.0
15,26-39,male,Yorkshire,10-19y,high_school,poverty,0.075,1.0,before_2010,1.0,1.0,78901,11474.0,family_sedan,standard,1,0,0,0.0,0.0
16,26-39,male,East Midlands,10-19y,university,working_class,0.227,1.0,2016-2020,0.0,0.0,45678,5767.0,small_hatchback,standard,1,0,0,0.0,0.0
17,26-39,male,West Midlands,0-9y,university,poverty,0.162,1.0,before_2010,1.0,1.0,67890,10208.0,small_hatchback,standard,1,0,0,0.0,0.0
18,40-64,male,Wales,20-29y,high_school,middle_class,0.772,1.0,2016-2020,1.0,0.0,32765,9109.0,sports_car,standard,0,0,0,0.0,0.0
19,65+,female,North West,30y+,university,poverty,0.307,1.0,2016-2020,0.0,0.0,10238,500.0,family_sedan,basic,0,0,1,0.0,0.0
20,40-64,male,South East,10-19y,university,working_class,0.162,1.0,after_2020,1.0,1.0,67890,11075.0,suv,standard,0,0,1,0.0,0.0
21,40-64,female,London,20-29y,university,upper_class,0.656,1.0,2010-2015,1.0,0.0,10238,5499.0,small_hatchback,basic,0,0,0,0.0,0.0
22,26-39,female,London,0-9y,university,middle_class,0.628,1.0,after_2020,0.0,0.0,45678,4571.0,luxury_sedan,advanced,1,0,2,0.0,0.0
23,65+,male,South East,30y+,postgraduate,middle_class,0.58,1.0,before_2010,1.0,0.0,67890,10158.0,luxury_sedan,advanced,0,0,0,0.0,0.0
24,26-39,female,Yorkshire,10-19y,university,middle_class,0.662,1.0,2010-2015,1.0,1.0,10238,6203.0,sports_car,standard,0,0,0,0.0,0.0
25,40-64,female,North East,20-29y,high_school,upper_class,0.831,1.0,after_2020,0.0,0.0,10238,5493.0,family_sedan,advanced,0,0,0,0.0,0.0
26,40-64,female,Yorkshire,10-19y,university,working_class,0.377,1.0,2016-2020,1.0,1.0,54321,13474.0,family_sedan,basic,0,0,0,1.0,348.4
27,26-39,male,South West,10-19y,postgraduate,upper_class,0.888,1.0,after_2020,1.0,1.0,78901,9854.0,luxury_sedan,standard,0,0,0,0.0,0.0
28,40-64,female,London,20-29y,high_school,upper_class,0.816,0.0,after_2020,0.0,0.0,45678,4894.0,family_sedan,basic,0,0,0,0.0,0.0
29,26-39,male,London,10-19y,university,middle_class,0.627,1.0,after_2020,0.0,0.0,67890,3530.0,suv,standard,0,0,0,0.0,0.0
30,40-64,female,South West,20-29y,university,middle_class,0.573,1.0,2010-2015,1.0,1.0,67890,10883.0,suv,advanced,1,0,0,0.0,0.0
31,26-39,female,Wales,10-19y,high_school,middle_class,0.909,1.0,2010-2015,0.0,0.0,10238,8320.0,small_hatchback,standard,0,0,0,0.0,0.0
32,65+,male,South East,30y+,university,middle_class,0.829,1.0,2010-2015,1.0,0.0,67890,9880.0,family_sedan,advanced,0,0,0,1.0,660.92
33,16-25,female,North West,3-5y,high_school,middle_class,0.332,1.0,before_2010,0.0,1.0,54321,1579.0,small_hatchback,basic,0,0,1,0.0,0.0
34,16-25,male,South West,0-2y,university,working_class,0.663,0.0,2010-2015,1.0,1.0,10238,4472.0,small_hatchback,standard,1,0,1,0.0,0.0
35,40-64,male,West Midlands,20-29y,high_school,working_class,0.605,1.0,2010-2015,0.0,1.0,45678,2616.0,suv,standard,0,0,0,1.0,680.04
36,16-25,female,North West,0-2y,postgraduate,middle_class,0.685,1.0,2016-2020,0.0,0.0,78901,3262.0,small_hatchback,advanced,1,0,0,0.0,0.0
37,40-64,male,East Anglia,10-19y,high_school,middle_class,0.762,1.0,before_2010,1.0,0.0,67890,4189.0,small_hatchback,standard,1,0,0,0.0,0.0
38,16-25,male,North West,3-5y,postgraduate,upper_class,0.825,1.0,before_2010,0.0,0.0,45678,3461.0,sports_car,basic,3,0,0,1.0,2340.0
39,40-64,female,East Anglia,20-29y,university,middle_class,0.599,1.0,2016-2020,1.0,1.0,67890,7526.0,suv,standard,0,0,0,0.0,0.0
40,65+,female,South West,30y+,postgraduate,middle_class,0.671,1.0,before_2010,1.0,1.0,32765,7090.0,family_sedan,basic,0,0,0,0.0,0.0
41,26-39,female,East Anglia,10-19y,university,poverty,0.101,1.0,after_2020,1.0,0.0,32765,10524.0,suv,standard,1,0,0,1.0,300.0
42,65+,male,North West,30y+,postgraduate,upper_class,0.843,1.0,before_2010,1.0,0.0,67890,4652.0,suv,basic,0,0,0,0.0,0.0
43,16-25,female,Scotland,0-2y,high_school,working_class,0.608,1.0,2010-2015,0.0,0.0,45678,6539.0,small_hatchback,standard,0,0,0,1.0,2075.0
44,16-25,female,East Midlands,0-2y,university,middle_class,0.8,1.0,before_2010,0.0,1.0,10238,8411.0,family_sedan,standard,0,0,1,0.0,0.0
45,26-39,male,South West,0-9y,university,poverty,0.099,1.0,2010-2015,1.0,1.0,67890,9291.0,sports_car,basic,0,0,0,1.0,777.53
46,16-25,female,Wales,0-2y,none,working_class,0.463,1.0,2010-2015,0.0,1.0,10238,500.0,suv,standard,1,0,1,0.0,0.0
47,40-64,female,South West,10-19y,university,working_class,0.761,1.0,after_2020,0.0,0.0,54321,8586.0,suv,standard,0,0,0,0.0,0.0
48,40-64,male,North East,20-29y,university,working_class,0.367,1.0,2010-2015,1.0,1.0,67890,12411.0,family_sedan,advanced,0,0,0,0.0,0.0
49,26-39,male,East Midlands,10-19y,none,upper_class,0.961,0.0,2016-2020,1.0,0.0,10238,4778.0,mpv,basic,1,0,0,0.0,0.0
50,26-39,female,South East,10-19y,postgraduate,middle_class,0.948,1.0,2016-2020,0.0,0.0,67890,9379.0,suv,basic,0,0,0,0.0,0.0
51,40-64,male,East Anglia,20-29y,postgraduate,middle_class,0.888,0.0,2016-2020,0.0,1.0,10238,5626.0,family_sedan,standard,0,0,0,0.0,0.0
52,26-39,male,Scotland,10-19y,high_school,poverty,0.235,1.0,2016-2020,1.0,1.0,45678,8305.0,family_sedan,basic,0,0,0,0.0,0.0
53,40-64,female,Yorkshire,20-29y,university,poverty,0.608,0.0,2016-2020,1.0,0.0,67890,11387.0,suv,basic,0,0,0,0.0,0.0
54,40-64,female,Yorkshire,20-29y,university,working_class,0.16,1.0,2010-2015,0.0,0.0,54321,7301.0,suv,standard,0,0,0,0.0,0.0
55,40-64,male,South East,20-29y,postgraduate,poverty,0.311,1.0,before_2010,1.0,1.0,54321,7454.0,family_sedan,standard,0,0,0,0.0,0.0
56,40-64,female,North East,20-29y,university,working_class,0.572,1.0,2010-2015,1.0,0.0,10238,7570.0,family_sedan,standard,0,0,1,0.0,0.0
57,26-39,male,Scotland,10-19y,university,middle_class,0.587,1.0,before_2010,0.0,0.0,78901,7585.0,sports_car,advanced,0,0,0,1.0,1800.0
58,40-64,female,Yorkshire,20-29y,high_school,middle_class,0.594,0.0,2016-2020,1.0,1.0,54321,11551.0,luxury_sedan,standard,0,0,0,0.0,0.0
59,40-64,male,South East,20-29y,university,working_class,0.414,1.0,2010-2015,1.0,1.0,67890,4210.0,luxury_sedan,standard,0,0,0,0.0,0.0
60,65+,male,South West,30y+,postgraduate,middle_class,0.727,1.0,2016-2020,1.0,0.0,45678,6504.0,family_sedan,basic,0,0,0,0.0,0.0
61,65+,male,Yorkshire,20-29y,postgraduate,poverty,0.415,1.0,before_2010,1.0,0.0,32765,6068.0,luxury_sedan,basic,0,0,0,0.0,0.0
62,40-64,female,South West,10-19y,high_school,working_class,0.532,1.0,after_2020,1.0,1.0,78901,7883.0,family_sedan,advanced,0,0,0,0.0,0.0
63,26-39,female,Scotland,10-19y,university,middle_class,0.308,1.0,2010-2015,1.0,0.0,32765,9229.0,mpv,standard,1,0,0,0.0,0.0
64,65+,male,North East,30y+,university,working_class,0.592,1.0,2010-2015,0.0,0.0,67890,2246.0,luxury_sedan,basic,0,1,1,1.0,1828.72
65,26-39,female,North West,0-9y,university,middle_class,0.643,1.0,before_2010,1.0,0.0,78901,6863.0,sports_car,basic,1,0,0,1.0,2853.46
66,40-64,female,East Anglia,20-29y,high_school,middle_class,0.716,0.0,2010-2015,1.0,1.0,67890,6147.0,family_sedan,standard,0,0,0,0.0,0.0
67,40-64,female,North East,10-19y,high_school,upper_class,0.93,1.0,2016-2020,1.0,0.0,10238,7936.0,family_sedan,basic,0,0,0,0.0,0.0
68,65+,male,East Anglia,30y+,university,upper_class,0.826,1.0,2016-2020,0.0,0.0,54321,7098.0,family_sedan,basic,0,0,1,0.0,0.0
69,26-39,female,Yorkshire,10-19y,university,middle_class,0.844,0.0,2010-2015,1.0,1.0,67890,10200.0,suv,standard,0,0,0,0.0,0.0
70,26-39,female,Yorkshire,0-9y,high_school,middle_class,0.675,1.0,before_2010,1.0,0.0,54321,9264.0,small_hatchback,standard,1,0,0,0.0,0.0
71,26-39,female,North West,10-19y,none,working_class,0.487,1.0,after_2020,0.0,0.0,32765,4674.0,family_sedan,standard,0,0,0,0.0,0.0
72,40-64,female,South West,20-29y,university,middle_class,0.864,0.0,2016-2020,0.0,1.0,10238,12149.0,family_sedan,standard,0,0,0,0.0,0.0
73,26-39,female,South East,10-19y,university,working_class,0.499,1.0,2010-2015,1.0,0.0,67890,7651.0,small_hatchback,standard,0,0,0,0.0,0.0
74,26-39,female,London,0-9y,university,middle_class,0.351,1.0,2016-2020,0.0,0.0,32765,9111.0,family_sedan,standard,0,1,0,0.0,0.0
75,16-25,male,East Midlands,0-2y,university,middle_class,0.924,1.0,2010-2015,1.0,0.0,32765,5996.0,small_hatchback,basic,1,0,0,1.0,427.3
76,26-39,female,South East,0-9y,high_school,upper_class,0.95,1.0,before_2010,0.0,0.0,45678,9258.0,suv,basic,0,0,1,0.0,0.0
77,65+,female,London,30y+,high_school,working_class,0.521,1.0,2016-2020,1.0,0.0,32765,4624.0,luxury_sedan,standard,0,0,0,0.0,0.0
78,26-39,male,East Midlands,10-19y,high_school,upper_class,0.85,0.0,2016-2020,0.0,0.0,67890,7004.0,luxury_sedan,advanced,0,0,0,0.0,0.0
79,26-39,male,London,10-19y,university,middle_class,0.891,1.0,2010-2015,0.0,0.0,45678,2628.0,small_hatchback,standard,0,0,0,0.0,0.0
80,16-25,male,Yorkshire,3-5y,university,working_class,0.689,1.0,2016-2020,0.0,0.0,32765,6827.0,small_hatchback,advanced,1,0,0,0.0,0.0
81,40-64,female,London,20-29y,university,working_class,0.585,0.0,2010-2015,0.0,0.0,67890,2953.0,luxury_sedan,advanced,0,0,0,0.0,0.0
82,40-64,female,Yorkshire,20-29y,high_school,upper_class,0.965,1.0,2016-2020,1.0,0.0,32765,9320.0,suv,standard,1,0,0,1.0,1500.0
83,26-39,female,London,10-19y,high_school,poverty,0.266,0.0,2010-2015,0.0,0.0,67890,6537.0,sports_car,basic,0,0,1,0.0,0.0
84,40-64,male,Yorkshire,20-29y,high_school,upper_class,0.682,1.0,2010-2015,0.0,0.0,67890,10606.0,small_hatchback,standard,0,0,0,0.0,0.0
85,40-64,male,West Midlands,10-19y,university,middle_class,0.856,1.0,2010-2015,1.0,1.0,78901,2325.0,suv,basic,0,1,0,0.0,0.0
86,40-64,female,North East,10-19y,high_school,upper_class,0.902,1.0,before_2010,1.0,1.0,78901,11122.0,family_sedan,basic,0,0,0,0.0,0.0
87,40-64,female,South East,20-29y,university,working_class,0.576,0.0,2010-2015,0.0,0.0,32765,7294.0,luxury_sedan,standard,0,0,0,0.0,0.0
88,40-64,female,South West,20-29y,high_school,middle_class,0.732,1.0,before_2010,0.0,0.0,45678,3015.0,suv,standard,0,0,0,0.0,0.0
89,26-39,female,South East,10-19y,university,middle_class,0.909,1.0,after_2020,0.0,1.0,32765,13004.0,suv,advanced,0,1,0,0.0,0.0
90,16-25,male,North East,0-2y,postgraduate,upper_class,0.831,1.0,2010-2015,0.0,0.0,32765,5369.0,small_hatchback,standard,1,0,0,0.0,0.0
91,16-25,female,North East,0-2y,university,working_class,0.69,1.0,2010-2015,0.0,0.0,54321,5823.0,small_hatchback,basic,0,0,0,0.0,0.0
92,40-64,male,West Midlands,20-29y,university,middle_class,0.558,1.0,before_2010,1.0,0.0,67890,4332.0,family_sedan,standard,0,0,0,0.0,0.0
93,26-39,male,South East,10-19y,university,middle_class,0.66,0.0,after_2020,0.0,0.0,32765,7564.0,small_hatchback,basic,0,0,0,1.0,300.0
94,65+,female,London,30y+,high_school,working_class,0.469,1.0,2010-2015,1.0,1.0,10238,4744.0,luxury_sedan,advanced,0,0,0,0.0,0.0
95,16-25,female,South West,0-2y,university,middle_class,0.942,1.0,after_2020,0.0,0.0,78901,4889.0,mpv,basic,3,0,0,0.0,0.0
96,40-64,male,East Midlands,10-19y,university,working_class,0.487,1.0,after_2020,1.0,1.0,32765,8464.0,suv,advanced,0,0,0,0.0,0.0
97,40-64,female,South East,10-19y,university,upper_class,0.709,1.0,2016-2020,1.0,1.0,10238,5387.0,family_sedan,standard,0,0,1,0.0,0.0
98,40-64,female,West Midlands,20-29y,high_school,poverty,0.474,1.0,2016-2020,0.0,0.0,32765,4907.0,suv,standard,0,0,0,0.0,0.0
