ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,CLAIM_AMOUNT
1,26-39,male,majority,0-9y,university,middle class,0.31,0.0,after 2015,0.0,1.0,10238,3406.0,sedan,0,0,0,0.0,0.0
2,40-64,female,majority,10-19y,none,poverty,0.41,1.0,after 2015,1.0,0.0,10238,13424.0,sedan,0,0,1,0.0,0.0
3,26-39,female,majority,0-9y,none,middle class,0.64,0.0,before 2015,0.0,0.0,10238,2571.0,sedan,0,0,1,0.0,0.0
4,26-39,female,majority,0-9y,university,upper class,0.34,0.0,after 2015,0.0,1.0,10238,11460.0,sedan,0,1,1,0.0,0.0
5,40-64,female,majority,20-29y,high school,working class,0.31,1.0,after 2015,0.0,1.0,10238,6471.0,sedan,0,0,0,0.0,0.0
6,65+,male,majority,30y+,none,upper class,0.55,1.0,before 2015,1.0,1.0,10238,10602.0,sedan,0,0,1,0.0,0.0
7,65+,female,majority,30y+,university,poverty,0.4,1.0,before 2015,1.0,0.0,10238,9791.0,sedan,2,0,0,1.0,5870.92
8,40-64,male,majority,20-29y,none,middle class,0.57,1.0,before 2015,0.0,0.0,10238,6783.0,sedan,0,0,0,0.0,0.0
9,40-64,male,majority,10-19y,university,middle class,0.59,1.0,before 2015,0.0,1.0,10238,10010.0,sedan,0,0,0,0.0,0.0
10,40-64,male,majority,20-29y,high school,upper class,0.3,1.0,after 2015,0.0,1.0,10238,6363.0,sedan,1,0,0,0.0,0.0
11,65+,male,majority,30y+,none,middle class,0.65,1.0,before 2015,0.0,0.0,10238,5719.0,sedan,1,0,0,0.0,0.0
12,26-39,male,majority,10-19y,university,middle class,0.38,1.0,after 2015,1.0,1.0,10238,5971.0,sedan,1,2,0,0.0,0.0
13,26-39,male,majority,10-19y,high school,working class,0.47,1.0,after 2015,0.0,0.0,10238,4593.0,sedan,0,0,1,0.0,0.0
14,26-39,female,majority,0-9y,university,working class,0.35,1.0,before 2015,1.0,1.0,10238,4673.0,sedan,1,0,1,1.0,6458.43
15,26-39,male,majority,10-19y,university,middle class,0.6,1.0,after 2015,0.0,1.0,10238,9154.0,sedan,1,0,1,0.0,0.0
16,40-64,female,majority,20-29y,university,middle class,0.66,1.0,after 2015,1.0,1.0,10238,4145.0,sports car,0,0,0,0.0,0.0
17,16-25,female,majority,0-9y,none,middle class,0.79,0.0,after 2015,1.0,0.0,10238,6559.0,sedan,1,0,3,0.0,0.0
18,40-64,female,majority,10-19y,none,working class,0.58,1.0,after 2015,1.0,1.0,10238,7541.0,sedan,1,0,1,0.0,0.0
19,26-39,female,majority,10-19y,university,middle class,0.61,1.0,before 2015,1.0,1.0,10238,4120.0,sedan,0,1,1,0.0,0.0
20,26-39,male,majority,10-19y,none,upper class,0.59,0.0,after 2015,0.0,1.0,10238,10314.0,sedan,0,0,0,0.0,0.0
21,65+,male,majority,30y+,university,middle class,0.32,1.0,before 2015,1.0,0.0,10238,8818.0,sports car,0,0,0,0.0,0.0
22,26-39,female,majority,10-19y,high school,middle class,0.44,1.0,after 2015,1.0,1.0,10238,1167.0,sports car,2,0,2,0.0,0.0
23,40-64,female,majority,20-29y,none,upper class,0.42,1.0,before 2015,0.0,1.0,10238,2345.0,sedan,1,0,2,1.0,1789.17
24,26-39,female,majority,10-19y,high school,poverty,0.44,1.0,after 2015,1.0,1.0,10238,4259.0,sedan,0,0,0,0.0,0.0
25,40-64,male,majority,20-29y,none,middle class,0.48,1.0,after 2015,0.0,1.0,10238,5634.0,sedan,0,0,1,0.0,0.0
26,65+,female,majority,30y+,high school,middle class,0.4,1.0,before 2015,1.0,0.0,10238,3076.0,sedan,0,0,1,0.0,0.0
27,65+,male,majority,30y+,none,upper class,0.77,0.0,before 2015,0.0,1.0,10238,1028.0,sedan,0,0,0,0.0,0.0
28,40-64,male,majority,10-19y,high school,working class,0.6,1.0,before 2015,0.0,1.0,10238,6287.0,sedan,0,0,0,0.0,0.0
29,40-64,male,majority,20-29y,high school,working class,0.66,0.0,after 2015,1.0,0.0,10238,12616.0,sedan,0,0,1,0.0,0.0
30,65+,female,majority,30y+,none,poverty,0.49,0.0,before 2015,0.0,0.0,10238,1307.0,sports car,1,0,0,0.0,0.0
