user_id,avg_rpm,smoothness_score,idling_pct,carbon_credits_balance
USR_00001,2507,0.9,0.192,189
USR_00002,2370,0.57,0.283,34
USR_00003,2993,0.33,0.077,3
USR_00004,2744,0.57,0.18,84
USR_00005,3065,0.45,0.031,29
USR_00006,2277,0.7,0.091,56
USR_00007,3001,0.49,0.114,12
USR_00008,2436,0.6,0.046,17
USR_00009,2299,0.69,0.076,120
USR_00010,2346,0.62,0.141,117
USR_00011,2801,0.26,0.007,13
USR_00012,2600,0.48,0.157,78
USR_00013,2916,0.54,0.049,21
USR_00014,2443,0.85,0.313,42
USR_00015,2554,0.44,0.231,65
USR_00016,2142,0.69,0.082,13
USR_00017,2610,0.42,0.144,4
USR_00018,2406,0.82,0.042,15
USR_00019,2975,0.57,0.123,3
USR_00020,2412,0.75,0.206,88
USR_00021,2475,0.71,0.103,95
USR_00022,2144,0.79,0.201,100
USR_00023,3271,0.29,0.193,36
USR_00024,2325,0.73,0.1,2
USR_00025,2729,0.6,0.23,47
USR_00026,2539,0.66,0.384,21
USR_00027,2234,0.87,0.053,24
USR_00028,2274,0.67,0.418,108
USR_00029,2624,0.54,0.294,58
USR_00030,1906,0.82,0.115,39
USR_00031,2429,0.69,0.012,102
USR_00032,2644,0.63,0.08,11
USR_00033,1966,0.79,0.227,21
USR_00034,2470,0.69,0.359,63
USR_00035,2503,0.77,0.098,69
USR_00036,2634,0.59,0.111,2
USR_00037,2584,0.76,0.226,9
USR_00038,1981,0.78,0.046,16
USR_00039,2689,0.69,0.109,18
USR_00040,2197,0.75,0.094,0
USR_00041,2339,0.58,0.239,42
USR_00042,2492,0.81,0.171,5
USR_00043,2597,0.65,0.282,31
USR_00044,2452,0.58,0.118,5
USR_00045,2479,0.72,0.042,26
USR_00046,2735,0.51,0.13,46
USR_00047,2403,0.67,0.303,21
USR_00048,2775,0.44,0.238,36
USR_00049,2385,0.75,0.593,17
USR_00050,2407,0.89,0.03,14
USR_00051,2265,0.73,0.109,60
USR_00052,2528,0.73,0.043,167
USR_00053,2634,0.39,0.351,73
USR_00054,2376,0.47,0.188,45
USR_00055,2617,0.77,0.252,140
USR_00056,2694,0.62,0.185,70
USR_00057,2366,0.72,0.163,44
USR_00058,2747,0.27,0.055,13
USR_00059,2146,0.78,0.161,9
USR_00060,2021,0.67,0.135,237
USR_00061,2715,0.59,0.081,39
USR_00062,3079,0.51,0.258,60
USR_00063,2238,0.73,0.162,83
USR_00064,2285,0.81,0.157,41
USR_00065,2156,0.84,0.05,105
USR_00066,2677,0.71,0.273,14
USR_00067,2646,0.55,0.031,17
USR_00068,2275,0.72,0.312,4
USR_00069,2779,0.53,0.08,89
USR_00070,2289,0.8,0.103,41
USR_00071,2486,0.62,0.257,10
USR_00072,2258,0.71,0.099,7
USR_00073,2441,0.73,0.245,32
USR_00074,2907,0.43,0.087,4
USR_00075,2218,0.71,0.077,79
USR_00076,2276,0.72,0.115,40
USR_00077,2391,0.6,0.111,2
USR_00078,2579,0.65,0.199,69
USR_00079,2455,0.68,0.204,96
USR_00080,2772,0.6,0.162,8
USR_00081,2803,0.77,0.169,21
USR_00082,2073,0.85,0.105,3
USR_00083,2418,0.88,0.029,92
USR_00084,2609,0.59,0.13,2
USR_00085,2381,0.62,0.072,27
USR_00086,2130,0.77,0.15,58
USR_00087,2820,0.39,0.193,30
USR_00088,2664,0.69,0.085,279
USR_00089,2630,0.78,0.137,12
USR_00090,2775,0.64,0.141,51
USR_00091,2729,0.51,0.362,54
USR_00092,2573,0.54,0.327,162
USR_00093,2678,0.49,0.111,1
USR_00094,2337,0.84,0.131,14
USR_00095,2378,0.7,0.208,57
USR_00096,2776,0.52,0.16,72
USR_00097,1993,0.83,0.08,10
USR_00098,3087,0.38,0.034,32
USR_00099,2871,0.46,0.272,166
USR_00100,2688,0.6,0.242,11
USR_00101,2251,0.71,0.223,71
USR_00102,3091,0.35,0.195,127
USR_00103,2835,0.51,0.174,32
USR_00104,2722,0.57,0.2,109
USR_00105,2797,0.34,0.064,20
USR_00106,2130,0.72,0.078,11
USR_00107,2339,0.75,0.31,44
USR_00108,2871,0.68,0.072,43
USR_00109,2621,0.76,0.098,17
USR_00110,2394,0.63,0.139,25
USR_00111,2309,0.79,0.035,48
USR_00112,2512,0.72,0.138,74
USR_00113,2468,0.81,0.161,121
USR_00114,2626,0.43,0.128,79
USR_00115,2332,0.84,0.251,0
USR_00116,2819,0.65,0.048,13
USR_00117,2151,0.63,0.111,3
USR_00118,2997,0.58,0.174,34
USR_00119,2528,0.62,0.101,1
USR_00120,2963,0.53,0.337,54
