user_id,age,annual_mileage,night_driving_pct,weekend_driving_pct,fatigue_score,assigned_village
USR_00001,80,9985,0.46,0.197,2.9,night_owls
USR_00002,30,10635,0.354,0.14,0.7,night_owls
USR_00003,50,17750,0.401,0.182,4.2,night_owls
USR_00004,40,3795,0.041,0.384,1.0,weekend_warriors
USR_00005,28,11735,0.071,0.22,1.9,safe_commuters
USR_00006,58,26048,0.164,0.345,2.9,safe_commuters
USR_00007,41,11938,0.218,0.18,2.8,safe_commuters
USR_00008,34,15738,0.166,0.382,8.5,safe_commuters
USR_00009,82,33886,0.033,0.326,3.5,safe_commuters
USR_00010,21,9518,0.094,0.293,2.1,young_pros
USR_00011,43,5895,0.084,0.53,2.9,safe_commuters
USR_00012,35,8583,0.209,0.22,1.2,safe_commuters
USR_00013,63,3898,0.213,0.473,2.0,weekend_warriors
USR_00014,82,4338,0.202,0.339,3.2,weekend_warriors
USR_00015,51,10273,0.118,0.304,1.8,safe_commuters
USR_00016,45,18062,0.434,0.096,2.1,night_owls
USR_00017,31,19349,0.316,0.353,5.0,night_owls
USR_00018,59,16865,0.06,0.622,5.5,safe_commuters
USR_00019,54,6493,0.381,0.313,1.5,night_owls
USR_00020,60,8877,0.007,0.243,2.8,safe_commuters
USR_00021,71,13458,0.363,0.175,0.6,night_owls
USR_00022,60,4813,0.136,0.215,2.0,weekend_warriors
USR_00023,49,10604,0.141,0.213,2.1,safe_commuters
USR_00024,70,7036,0.257,0.309,5.9,safe_commuters
USR_00025,70,12990,0.176,0.314,4.3,safe_commuters
USR_00026,35,11209,0.113,0.222,0.9,safe_commuters
USR_00027,73,5151,0.03,0.203,5.0,safe_commuters
USR_00028,80,3972,0.149,0.414,1.9,weekend_warriors
USR_00029,70,7861,0.3,0.429,1.4,night_owls
USR_00030,74,4931,0.165,0.187,2.3,weekend_warriors
USR_00031,58,6106,0.113,0.071,1.7,safe_commuters
USR_00032,63,19308,0.151,0.27,0.5,safe_commuters
USR_00033,42,11251,0.19,0.327,1.4,safe_commuters
USR_00034,68,7400,0.044,0.206,4.1,safe_commuters
USR_00035,33,7658,0.139,0.264,7.2,safe_commuters
USR_00036,43,8653,0.572,0.205,0.8,night_owls
USR_00037,39,9059,0.038,0.165,4.6,safe_commuters
USR_00038,79,12234,0.015,0.219,6.2,safe_commuters
USR_00039,36,19169,0.172,0.168,4.3,safe_commuters
USR_00040,27,5902,0.211,0.181,0.2,safe_commuters
USR_00041,50,20967,0.458,0.289,3.6,night_owls
USR_00042,79,5082,0.032,0.479,0.9,safe_commuters
USR_00043,54,10885,0.308,0.25,3.6,night_owls
USR_00044,77,13654,0.052,0.31,1.4,safe_commuters
USR_00045,34,15395,0.233,0.212,1.9,safe_commuters
USR_00046,33,2758,0.056,0.1,1.0,weekend_warriors
USR_00047,40,3785,0.099,0.26,3.0,weekend_warriors
USR_00048,46,5957,0.59,0.232,5.1,night_owls
USR_00049,56,5288,0.025,0.486,3.3,safe_commuters
USR_00050,77,5122,0.091,0.181,5.6,safe_commuters
USR_00051,82,2806,0.291,0.26,4.8,weekend_warriors
USR_00052,78,6214,0.148,0.373,5.3,safe_commuters
USR_00053,54,11579,0.235,0.368,1.2,safe_commuters
USR_00054,30,3664,0.23,0.223,3.4,weekend_warriors
USR_00055,82,10547,0.022,0.243,3.4,safe_commuters
USR_00056,82,9588,0.027,0.352,2.8,safe_commuters
USR_00057,83,8227,0.072,0.259,2.7,safe_commuters
USR_00058,73,21996,0.01,0.175,4.8,safe_commuters
USR_00059,81,9022,0.156,0.264,4.6,safe_commuters
USR_00060,57,7132,0.081,0.346,3.6,safe_commuters
USR_00061,30,3217,0.097,0.197,8.7,weekend_warriors
USR_00062,57,6554,0.168,0.237,3.2,safe_commuters
USR_00063,46,11230,0.039,0.211,3.8,safe_commuters
USR_00064,78,10922,0.007,0.396,0.5,safe_commuters
USR_00065,39,8905,0.154,0.321,0.5,safe_commuters
USR_00066,53,7602,0.004,0.205,1.6,safe_commuters
USR_00067,21,2714,0.022,0.417,5.0,young_pros
USR_00068,31,10609,0.006,0.169,2.3,safe_commuters
USR_00069,25,4650,0.068,0.277,0.7,weekend_warriors
USR_00070,42,8439,0.029,0.14,1.3,safe_commuters
USR_00071,24,6497,0.192,0.283,3.3,young_pros
USR_00072,71,7896,0.277,0.278,1.9,safe_commuters
USR_00073,29,12475,0.213,0.316,1.7,safe_commuters
USR_00074,32,6633,0.193,0.253,4.1,safe_commuters
USR_00075,26,7773,0.115,0.24,2.3,safe_commuters
USR_00076,55,13355,0.161,0.255,1.5,safe_commuters
USR_00077,58,2617,0.131,0.033,3.7,weekend_warriors
USR_00078,61,2734,0.157,0.246,0.6,weekend_warriors
USR_00079,29,13381,0.002,0.149,2.0,safe_commuters
USR_00080,46,7918,0.141,0.202,9.1,safe_commuters
USR_00081,75,10407,0.263,0.308,2.0,safe_commuters
USR_00082,47,4890,0.089,0.252,3.3,weekend_warriors
USR_00083,59,12478,0.025,0.3,6.9,safe_commuters
USR_00084,35,9390,0.067,0.197,3.2,safe_commuters
USR_00085,69,21183,0.284,0.164,0.4,safe_commuters
USR_00086,61,10880,0.148,0.349,1.4,safe_commuters
USR_00087,26,7989,0.334,0.286,5.7,night_owls
USR_00088,42,2714,0.377,0.226,8.1,weekend_warriors
USR_00089,63,9064,0.261,0.226,4.8,safe_commuters
USR_00090,40,3477,0.161,0.42,5.8,weekend_warriors
USR_00091,31,7719,0.234,0.276,4.5,safe_commuters
USR_00092,57,27039,0.157,0.239,1.4,safe_commuters
USR_00093,24,6449,0.268,0.335,2.4,young_pros
USR_00094,57,4998,0.203,0.323,3.9,weekend_warriors
