date,region,weather_condition,traffic_baseline,visibility_meters
2025-01-01,London,Rain,Gridlock,3822
2025-01-02,London,Rain,Heavy,3494
2025-01-03,London,Rain,Heavy,819
2025-01-04,London,Rain,Heavy,2483
2025-01-05,London,Clear,Light,10000
2025-01-06,London,Rain,Gridlock,524
2025-01-07,London,Rain,Heavy,1025
2025-01-08,London,Clear,Gridlock,10000
2025-01-09,London,Rain,Gridlock,3606
2025-01-10,London,Rain,Heavy,2485
2025-01-11,London,Fog,Moderate,2091
2025-01-12,London,Rain,Light,1413
2025-01-13,London,Clear,Gridlock,10000
2025-01-14,London,Fog,Heavy,1635
2025-01-15,London,Rain,Gridlock,3893
2025-01-16,London,Clear,Gridlock,10000
2025-01-17,London,Fog,Gridlock,4961
2025-01-18,London,Rain,Moderate,1325
2025-01-19,London,Clear,Light,10000
2025-01-20,London,Rain,Gridlock,4043
2025-01-21,London,Snow,Heavy,2112
2025-01-22,London,Clear,Gridlock,10000
2025-01-23,London,Rain,Heavy,441
2025-01-24,London,Rain,Heavy,2328
2025-01-25,London,Rain,Heavy,250
2025-01-26,London,Rain,Light,4648
2025-01-27,London,Rain,Gridlock,2823
2025-01-28,London,Fog,Heavy,2740
2025-01-29,London,Fog,Gridlock,920
2025-01-30,London,Clear,Heavy,10000
2025-01-31,London,Rain,Gridlock,613
2025-02-01,London,Rain,Moderate,1728
2025-02-02,London,Fog,Light,1772
2025-02-03,London,Rain,Gridlock,1647
2025-02-04,London,Rain,Gridlock,3677
2025-02-05,London,Rain,Heavy,2088
2025-02-06,London,Fog,Heavy,1356
2025-02-07,London,Rain,Gridlock,759
2025-02-08,London,Rain,Light,3798
2025-02-09,London,Rain,Light,713
2025-02-10,London,Fog,Gridlock,3354
2025-02-11,London,Rain,Heavy,1341
2025-02-12,London,Rain,Heavy,3746
2025-02-13,London,Storm,Gridlock,904
2025-02-14,London,Rain,Heavy,1757
2025-02-15,London,Rain,Moderate,4981
2025-02-16,London,Clear,Light,10000
2025-02-17,London,Clear,Gridlock,10000
2025-02-18,London,Storm,Gridlock,658
2025-02-19,London,Clear,Gridlock,10000
2025-02-20,London,Fog,Heavy,1419
2025-02-21,London,Rain,Gridlock,1893
2025-02-22,London,Fog,Light,2435
2025-02-23,London,Fog,Moderate,4111
2025-02-24,London,Rain,Heavy,673
2025-02-25,London,Rain,Heavy,3773
2025-02-26,London,Rain,Heavy,3220
2025-02-27,London,Rain,Gridlock,3241
2025-02-28,London,Fog,Gridlock,1495
2025-03-01,London,Rain,Moderate,3233
2025-03-02,London,Clear,Moderate,10000
2025-03-03,London,Clear,Gridlock,10000
2025-03-04,London,Rain,Heavy,210
2025-03-05,London,Clear,Heavy,10000
2025-03-06,London,Clear,Gridlock,10000
2025-03-07,London,Clear,Gridlock,10000
2025-03-08,London,Rain,Light,1743
2025-03-09,London,Storm,Light,2535
2025-03-10,London,Storm,Heavy,1009
2025-03-11,London,Fog,Gridlock,4692
2025-03-12,London,Rain,Gridlock,2255
2025-03-13,London,Storm,Heavy,1110
2025-03-14,London,Storm,Gridlock,3220
2025-03-15,London,Storm,Light,2350
2025-03-16,London,Clear,Moderate,10000
2025-03-17,London,Clear,Gridlock,10000
2025-03-18,London,Storm,Gridlock,3913
2025-03-19,London,Clear,Heavy,10000
2025-03-20,London,Clear,Heavy,10000
2025-03-21,London,Fog,Gridlock,2856
2025-03-22,London,Rain,Light,2505
2025-03-23,London,Storm,Moderate,4181
2025-03-24,London,Rain,Gridlock,4545
2025-03-25,London,Clear,Heavy,10000
2025-03-26,London,Rain,Gridlock,4196
2025-03-27,London,Rain,Heavy,1765
2025-03-28,London,Clear,Gridlock,10000
2025-03-29,London,Clear,Moderate,10000
2025-03-30,London,Clear,Heavy,10000
2025-03-31,London,Rain,Heavy,4192
2025-04-01,London,Rain,Heavy,4515
2025-04-02,London,Rain,Gridlock,880
2025-04-03,London,Rain,Heavy,166
2025-04-04,London,Clear,Gridlock,10000
2025-04-05,London,Clear,Heavy,10000
2025-04-06,London,Rain,Light,609
2025-04-07,London,Clear,Gridlock,10000
2025-04-08,London,Rain,Gridlock,2344
2025-04-09,London,Clear,Heavy,10000
2025-04-10,London,Clear,Heavy,10000
2025-04-11,London,Clear,Gridlock,10000
2025-04-12,London,Clear,Light,10000
2025-04-13,London,Rain,Moderate,1685
2025-04-14,London,Clear,Heavy,10000
2025-04-15,London,Rain,Heavy,3780
2025-04-16,London,Rain,Gridlock,4661
2025-04-17,London,Rain,Gridlock,945
2025-04-18,London,Rain,Gridlock,3796
2025-04-19,London,Rain,Light,2788
2025-04-20,London,Fog,Moderate,3963
2025-04-21,London,Clear,Heavy,10000
2025-04-22,London,Clear,Gridlock,10000
2025-04-23,London,Clear,Heavy,10000
2025-04-24,London,Rain,Heavy,4024
2025-04-25,London,Clear,Gridlock,10000
