user_id,brake_wear_pct,tyre_tread_mm,battery_soh_pct,oil_quality_pct,last_service_date
USR_00001,44.1,2.22,82.3,47.1,2025-05-19
USR_00002,41.8,1.05,100.0,19.3,2025-10-09
USR_00003,62.5,2.26,79.0,32.4,2024-03-16
USR_00004,43.0,6.66,74.5,29.5,2025-12-06
USR_00005,14.4,4.12,76.5,29.6,2025-08-19
USR_00006,78.2,0.5,61.9,79.8,2024-11-21
USR_00007,70.7,4.9,70.6,62.5,2024-12-16
USR_00008,16.2,4.05,88.2,11.2,2025-11-13
USR_00009,42.4,3.28,74.4,77.8,2024-07-12
USR_00010,30.4,3.59,82.1,43.0,2025-04-04
USR_00011,28.0,5.97,77.7,89.9,2025-06-28
USR_00012,35.4,2.81,87.3,58.0,2024-10-13
USR_00013,28.9,4.88,90.2,17.1,2024-10-25
USR_00014,29.9,5.41,83.0,29.2,2024-03-24
USR_00015,42.0,0.5,87.2,85.3,2025-02-21
USR_00016,20.2,6.17,78.0,61.7,2024-09-20
USR_00017,72.5,0.9,73.8,22.9,2024-11-28
USR_00018,45.0,1.81,82.3,68.8,2025-02-19
USR_00019,36.2,4.44,83.0,50.9,2025-11-04
USR_00020,51.3,6.49,92.1,75.0,2025-01-29
USR_00021,45.7,2.14,91.3,12.3,2024-02-21
USR_00022,35.6,3.28,72.1,99.9,2025-11-04
USR_00023,32.7,6.84,88.5,44.7,2024-07-12
USR_00024,26.3,4.57,92.7,91.9,2024-03-23
USR_00025,48.3,4.31,63.6,24.5,2024-03-09
USR_00026,36.5,1.81,99.2,40.4,2024-08-30
USR_00027,18.4,4.57,83.2,49.3,2025-01-16
USR_00028,26.7,6.17,98.2,56.5,2025-12-06
USR_00029,33.3,4.41,87.6,90.2,2025-02-13
USR_00030,45.6,3.69,100.0,52.7,2024-09-23
USR_00031,15.1,4.4,81.1,93.7,2025-03-10
USR_00032,44.5,4.42,73.4,98.5,2024-03-10
USR_00033,32.5,5.52,78.0,18.2,2024-06-02
USR_00034,47.7,3.11,100.0,17.1,2024-07-03
USR_00035,25.7,2.0,88.8,17.2,2025-05-07
USR_00036,41.3,3.77,89.9,73.8,2025-08-17
USR_00037,34.2,1.05,97.5,45.7,2024-11-16
USR_00038,21.0,4.67,100.0,64.4,2025-09-20
USR_00039,39.1,2.38,71.9,16.8,2025-11-23
USR_00040,46.6,5.94,98.4,74.7,2024-08-28
USR_00041,45.9,1.39,90.7,57.3,2024-01-22
USR_00042,22.6,5.15,82.0,86.0,2025-06-11
USR_00043,32.0,2.92,99.9,58.5,2025-06-24
USR_00044,58.2,0.5,72.8,73.4,2025-12-12
USR_00045,33.0,3.43,85.2,44.5,2024-10-05
USR_00046,36.3,6.9,95.9,93.6,2024-08-31
USR_00047,37.2,6.45,100.0,86.3,2024-09-24
USR_00048,32.8,3.75,80.5,13.1,2025-02-20
USR_00049,33.0,3.75,79.0,33.2,2025-04-21
USR_00050,61.6,5.3,75.2,92.9,2024-02-28
USR_00051,23.6,6.5,80.4,90.0,2024-09-08
USR_00052,86.7,4.16,100.0,55.6,2025-08-06
USR_00053,66.0,5.67,52.6,59.3,2025-11-09
USR_00054,24.5,3.93,77.6,30.0,2025-09-04
USR_00055,61.3,1.09,73.9,75.5,2025-09-23
USR_00056,27.6,4.07,82.6,35.1,2024-04-28
USR_00057,22.5,4.03,84.3,53.5,2024-10-13
USR_00058,71.1,1.62,87.2,83.7,2025-06-05
USR_00059,31.3,4.5,93.5,70.2,2025-08-22
USR_00060,41.7,4.68,99.3,93.9,2024-03-31
USR_00061,76.6,2.86,74.7,47.4,2024-07-25
USR_00062,18.1,3.78,78.9,22.8,2025-08-25
USR_00063,23.4,4.43,67.9,10.6,2025-08-02
USR_00064,51.0,5.98,86.6,71.6,2024-02-21
USR_00065,48.0,5.72,86.0,91.9,2024-07-25
USR_00066,44.7,1.21,87.8,86.7,2024-09-26
USR_00067,35.3,1.35,80.0,42.4,2025-02-14
USR_00068,31.0,5.88,80.8,13.2,2025-12-12
USR_00069,14.4,5.4,71.2,85.1,2025-03-13
