iter	Passed	Remaining
0	308	92343
1	542	80897
2	804	79650
3	1009	74716
4	1094	64596
5	1285	62984
6	1477	61838
7	1554	56754
8	1621	52434
9	1720	49908
10	1978	51976
11	2183	52397
12	2394	52870
13	2578	52676
14	2727	51814
15	2871	50967
16	3042	50642
17	3193	50038
18	3276	48464
19	3423	47923
20	3538	47013
21	3655	46194
22	3773	45446
23	3838	44146
24	4009	44108
25	4136	43587
26	4271	43190
27	4398	42726
28	4543	42459
29	4692	42230
30	4788	41548
31	4826	40418
32	4874	39439
33	5026	39325
34	5158	39059
35	5275	38684
36	5406	38429
37	5548	38257
38	5691	38087
39	5848	38015
40	5999	37897
41	6119	37588
42	6273	37495
43	6337	36870
44	6461	36614
45	6495	35866
46	6627	35675
47	6816	35787
48	6963	35672
49	7104	35523
50	7225	35278
51	7362	35112
52	7548	35177
53	7597	34611
54	7737	34469
55	7883	34349
56	8065	34384
57	8207	34244
58	8342	34077
59	8548	34195
60	8708	34119
61	8891	34132
62	9060	34086
63	9244	34090
64	9398	33980
65	9481	33617
66	9670	33631
67	9814	33486
68	9976	33400
69	10139	33315
70	10294	33203
71	10458	33117
72	10555	32823
73	10725	32755
74	10890	32671
75	11040	32539
76	11188	32402
77	11276	32093
78	11413	31927
79	11616	31945
80	11785	31864
81	11933	31725
82	12084	31593
83	12271	31555
84	12368	31284
85	12577	31297
86	12866	31501
87	13103	31567
88	13318	31574
89	13526	31561
90	13739	31555
91	13952	31545
92	14088	31358
93	14232	31191
94	14406	31087
95	14506	30825
96	14647	30654
97	14826	30559
98	15005	30465
99	15188	30376
100	15349	30243
101	15445	29981
102	15656	29945
103	15841	29855
104	16021	29754
105	16185	29622
106	16331	29457
107	16491	29317
108	16639	29156
109	16773	28972
110	16965	28887
111	17078	28667
112	17241	28532
113	17391	28375
114	17548	28229
115	17777	28199
116	17967	28102
117	18175	28033
118	18340	27895
119	18477	27716
120	18679	27633
121	18805	27437
122	18910	27213
123	19104	27116
124	19293	27010
125	19414	26810
126	19561	26646
127	19597	26333
128	19757	26190
129	19890	26010
130	20075	25899
131	20229	25746
132	20331	25528
133	20475	25365
134	20864	25500
135	21760	26240
136	22162	26368
137	22499	26412
138	22796	26405
139	23058	26352
140	23287	26260
141	23462	26106
142	23628	25941
143	23744	25723
144	23865	25511
145	24036	25353
146	24175	25162
147	24327	24985
148	24458	24787
149	24592	24592
150	24730	24403
151	24883	24228
152	25066	24083
153	25310	23995
154	25482	23838
155	25990	23991
156	26153	23821
157	26329	23663
158	26500	23500
159	26645	23314
160	26834	23168
161	26954	22960
162	27092	22770
163	27243	22592
164	27545	22537
165	27768	22415
166	27986	22288
167	28187	22147
168	28429	22037
169	28680	21931
170	28802	21727
171	29133	21681
172	29357	21551
173	29567	21411
174	29761	21258
175	29996	21134
176	30538	21221
177	30800	21110
178	31043	20985
179	31268	20845
180	31666	20819
181	31805	20621
182	31997	20457
183	32201	20300
184	32349	20109
185	32495	19916
186	32629	19717
187	32764	19519
188	32938	19344
189	33075	19148
190	33228	18962
191	33393	18783
192	33554	18602
193	33701	18413
194	33826	18214
195	33969	18024
196	34117	17837
197	34300	17670
198	34468	17493
199	34619	17309
200	34828	17154
201	35184	17069
202	35491	16958
203	36248	17058
204	36603	16962
205	36879	16828
206	37180	16704
207	37444	16562
208	37802	16459
209	38211	16376
210	38557	16263
211	38765	16091
212	38915	15894
213	39096	15711
214	39294	15534
215	39523	15370
216	39711	15189
217	39929	15019
218	40096	14830
219	40275	14645
220	40447	14458
221	40610	14268
222	40763	14075
223	40899	13876
224	41021	13673
225	41148	13473
226	41275	13273
227	41425	13081
228	41695	12927
229	41856	12738
230	41994	12543
231	42166	12359
232	42368	12183
233	42536	11997
234	42735	11820
235	42874	11627
236	43021	11435
237	43265	11270
238	43529	11110
239	43761	10940
240	43963	10762
241	44214	10596
242	44477	10432
243	44672	10252
244	44887	10076
245	45220	9926
246	45637	9792
247	46021	9649
248	46179	9458
249	46349	9269
250	46590	9095
251	46841	8922
252	47054	8741
253	47259	8558
254	47458	8375
255	47747	8206
256	47968	8025
257	48259	7856
258	48528	7682
259	48745	7499
260	48983	7319
261	49211	7137
262	49481	6961
263	49722	6780
264	49945	6596
265	50241	6421
266	50489	6240
267	50664	6049
268	50946	5871
269	51241	5693
270	51498	5510
271	51785	5330
272	52043	5147
273	52272	4960
274	52465	4769
275	52649	4578
276	52829	4386
277	53031	4196
278	53229	4006
279	53402	3814
280	53553	3621
281	54153	3456
282	54486	3273
283	54813	3088
284	55174	2903
285	55423	2713
286	55705	2523
287	56035	2334
288	56289	2142
289	56526	1949
290	56703	1753
291	56940	1560
292	57145	1365
293	57338	1170
294	57536	975
295	57723	780
296	57937	585
297	58123	390
298	58271	194
299	58413	0
